START_POS                      1211 38
1779107772.113 MOUSE_MOVE      -2 -9
1779107772.133 MOUSE_MOVE      -7 -33
1779107772.153 MOUSE_MOVE      -5 -31
1779107772.173 MOUSE_MOVE      0 -8
1779107772.193 MOUSE_MOVE      0 -6
1779107772.213 MOUSE_MOVE      0 -5
1779107772.234 MOUSE_MOVE      0 -3
1779107772.254 MOUSE_MOVE      0 -2
1779107772.273 MOUSE_MOVE      0 -3
1779107772.413 MOUSE_MOVE      0 1
1779107772.433 MOUSE_MOVE      0 16
1779107772.454 MOUSE_MOVE      0 12
1779107772.473 MOUSE_MOVE      0 7
1779107772.494 MOUSE_MOVE      0 30
1779107772.513 MOUSE_MOVE      0 20
1779107772.534 MOUSE_MOVE      0 13
1779107772.553 MOUSE_MOVE      0 8
1779107772.573 MOUSE_MOVE      0 8
1779107772.593 MOUSE_MOVE      0 2
1779107772.613 MOUSE_MOVE      0 10
1779107772.633 MOUSE_MOVE      0 2
1779107772.653 MOUSE_MOVE      0 1
1779107772.773 MOUSE_MOVE      0 -1
1779107772.793 MOUSE_MOVE      0 -5
1779107772.813 MOUSE_MOVE      0 -9
1779107772.834 MOUSE_MOVE      0 -8
1779107772.853 MOUSE_MOVE      0 -14
1779107772.873 MOUSE_MOVE      0 -9
1779107772.893 MOUSE_MOVE      0 -13
1779107772.913 MOUSE_MOVE      0 -3
1779107772.933 MOUSE_MOVE      0 -11
1779107772.953 MOUSE_MOVE      0 -6
1779107772.973 MOUSE_MOVE      0 -2
1779107772.993 MOUSE_MOVE      0 -1
1779107773.013 MOUSE_MOVE      0 -1
1779107773.033 MOUSE_MOVE      0 -1
1779107773.333 MOUSE_LEFT                                 up
1779107773.513 MOUSE_MOVE      -1 1
1779107773.533 MOUSE_MOVE      -15 10
1779107773.553 MOUSE_MOVE      -24 15
1779107773.573 MOUSE_MOVE      -22 11
1779107773.593 MOUSE_MOVE      -24 11
1779107773.613 MOUSE_MOVE      -28 11
1779107773.633 MOUSE_MOVE      -53 23
1779107773.653 MOUSE_MOVE      -11 5
1779107773.673 MOUSE_MOVE      -21 10
1779107773.693 MOUSE_MOVE      -32 22
1779107773.713 MOUSE_MOVE      -11 14
1779107773.733 MOUSE_MOVE      -9 14
1779107773.753 MOUSE_MOVE      -13 27
1779107773.773 MOUSE_MOVE      -5 11
1779107773.793 MOUSE_MOVE      -5 13
1779107773.813 MOUSE_MOVE      -9 25
1779107773.833 MOUSE_MOVE      -12 28
1779107773.853 MOUSE_MOVE      -7 18
1779107773.873 MOUSE_MOVE      -3 7
1779107773.893 MOUSE_MOVE      -8 21
1779107773.913 MOUSE_MOVE      -3 17
1779107773.933 MOUSE_MOVE      -2 11
1779107773.953 MOUSE_MOVE      -5 21
1779107773.973 MOUSE_MOVE      -3 11
1779107773.994 MOUSE_MOVE      -2 15
1779107774.013 MOUSE_MOVE      0 4
1779107774.033 MOUSE_MOVE      0 13
1779107774.053 MOUSE_MOVE      0 3
1779107774.073 MOUSE_MOVE      0 9
1779107774.093 MOUSE_MOVE      0 5
1779107774.113 MOUSE_MOVE      0 3
1779107774.133 MOUSE_MOVE      0 2
1779107774.153 MOUSE_MOVE      -2 4
1779107774.173 MOUSE_MOVE      0 3
1779107774.193 MOUSE_MOVE      0 4
1779107774.213 MOUSE_MOVE      0 3
1779107774.313 MOUSE_LEFT                                 down
1779107774.373 MOUSE_MOVE      0 1
1779107774.393 MOUSE_LEFT                                 up
1779107774.613 MOUSE_MOVE      0 -2
1779107774.633 MOUSE_MOVE      1 -1
1779107774.653 MOUSE_MOVE      0 -1
1779107774.693 MOUSE_MOVE      1 -1
1779107774.734 MOUSE_MOVE      0 -2
1779107774.753 MOUSE_MOVE      1 -3
1779107774.773 MOUSE_MOVE      1 -4
1779107774.793 MOUSE_MOVE      1 -4
1779107774.813 MOUSE_MOVE      2 -4
1779107774.833 MOUSE_MOVE      4 -9
1779107774.853 MOUSE_MOVE      2 -7
1779107774.873 MOUSE_MOVE      3 -9
1779107774.893 MOUSE_MOVE      2 -9
1779107774.913 MOUSE_MOVE      1 -13
1779107774.933 MOUSE_MOVE      0 -12
1779107774.953 MOUSE_MOVE      0 -16
1779107774.973 MOUSE_MOVE      0 -23
1779107774.993 MOUSE_MOVE      0 -6
1779107775.013 MOUSE_MOVE      -1 -16
1779107775.033 MOUSE_MOVE      0 -10
1779107775.053 MOUSE_MOVE      0 -5
1779107775.075 MOUSE_MOVE      0 -4
1779107775.094 MOUSE_MOVE      0 -5
1779107775.114 MOUSE_MOVE      0 -4
1779107775.134 MOUSE_MOVE      0 -1
1779107775.154 MOUSE_MOVE      0 -2
1779107775.174 MOUSE_MOVE      0 -1
1779107775.194 MOUSE_MOVE      0 -3
1779107775.214 MOUSE_MOVE      0 -3
1779107775.234 MOUSE_MOVE      0 -1
1779107775.254 MOUSE_MOVE      0 -2
1779107776.435 KEY 0xA4                        down
