START_POS                      1275 62
1779108273.556 MOUSE_MOVE      9 -5
1779108273.576 MOUSE_MOVE      27 -8
1779108273.597 MOUSE_MOVE      23 -7
1779108273.617 MOUSE_MOVE      66 -17
1779108273.636 MOUSE_MOVE      18 -7
1779108273.656 MOUSE_MOVE      34 -17
1779108273.676 MOUSE_MOVE      9 -5
1779108273.697 MOUSE_MOVE      26 -25
1779108273.717 MOUSE_MOVE      7 -11
1779108273.737 MOUSE_MOVE      6 -9
1779108273.757 MOUSE_MOVE      9 -11
1779108273.777 MOUSE_MOVE      15 -15
1779108273.797 MOUSE_MOVE      6 -5
1779108273.817 MOUSE_MOVE      37 -24
1779108273.857 MOUSE_MOVE      24 -15
1779108273.877 MOUSE_MOVE      18 -14
1779108273.897 MOUSE_MOVE      5 -4
1779108273.917 MOUSE_MOVE      4 -3
1779108273.937 MOUSE_MOVE      5 -6
1779108273.957 MOUSE_MOVE      2 -1
1779108273.977 MOUSE_MOVE      6 -4
1779108273.997 MOUSE_MOVE      7 -5
1779108274.017 MOUSE_MOVE      2 -2
1779108274.057 MOUSE_MOVE      2 -3
1779108274.078 MOUSE_MOVE      2 -2
1779108274.097 MOUSE_MOVE      1 -2
1779108274.238 MOUSE_LEFT                                 down
1779108274.317 MOUSE_LEFT                                 up
1779108274.602 MOUSE_MOVE      0 2
1779108274.622 MOUSE_MOVE      -3 5
1779108274.642 MOUSE_MOVE      -5 9
1779108274.662 MOUSE_MOVE      -15 18
1779108274.682 MOUSE_MOVE      -9 11
1779108274.702 MOUSE_MOVE      -9 9
1779108274.727 MOUSE_MOVE      -12 16
1779108274.747 MOUSE_MOVE      -11 15
1779108274.767 MOUSE_MOVE      -5 10
1779108274.787 MOUSE_MOVE      -5 8
1779108274.807 MOUSE_MOVE      -8 14
1779108274.827 MOUSE_MOVE      -6 10
1779108274.847 MOUSE_MOVE      -6 12
1779108274.867 MOUSE_MOVE      -8 20
1779108274.887 MOUSE_MOVE      -4 16
1779108274.907 MOUSE_MOVE      -3 18
1779108274.927 MOUSE_MOVE      0 39
1779108274.947 MOUSE_MOVE      0 18
1779108274.967 MOUSE_MOVE      1 20
1779108274.987 MOUSE_MOVE      8 28
1779108275.007 MOUSE_MOVE      8 18
1779108275.027 MOUSE_MOVE      15 22
1779108275.047 MOUSE_MOVE      5 6
1779108275.067 MOUSE_MOVE      30 14
1779108275.087 MOUSE_MOVE      24 2
1779108275.107 MOUSE_MOVE      46 -2
1779108275.127 MOUSE_MOVE      16 -2
1779108275.147 MOUSE_MOVE      43 -20
1779108275.167 MOUSE_MOVE      8 -15
1779108275.187 MOUSE_MOVE      3 -18
1779108275.207 MOUSE_MOVE      1 -47
1779108275.227 MOUSE_MOVE      -3 -27
1779108275.247 MOUSE_MOVE      -2 -13
1779108275.267 MOUSE_MOVE      -8 -38
1779108275.287 MOUSE_MOVE      -18 -44
1779108275.307 MOUSE_MOVE      -4 -10
1779108275.327 MOUSE_MOVE      -21 -34
1779108275.347 MOUSE_MOVE      -11 -12
1779108275.367 MOUSE_MOVE      -5 -9
1779108275.387 MOUSE_MOVE      -3 -8
1779108275.407 MOUSE_MOVE      -2 -11
1779108275.427 MOUSE_MOVE      -3 -9
1779108275.447 MOUSE_MOVE      -2 -4
1779108275.467 MOUSE_MOVE      -1 -5
1779108275.487 MOUSE_MOVE      0 -5
1779108275.507 MOUSE_MOVE      -2 -4
1779108275.527 MOUSE_MOVE      0 -2
1779108275.547 MOUSE_MOVE      0 -1
1779108275.567 MOUSE_MOVE      0 -2
1779108275.587 MOUSE_MOVE      -1 -2
1779108275.607 MOUSE_MOVE      -1 -2
1779108275.627 MOUSE_MOVE      -1 -5
1779108275.647 MOUSE_MOVE      0 -3
1779108275.667 MOUSE_MOVE      -1 -2
1779108275.707 MOUSE_MOVE      0 -1
1779108275.847 MOUSE_MOVE      0 -1
1779108275.867 MOUSE_MOVE      -1 -1
1779108275.907 MOUSE_MOVE      0 -1
1779108276.687 KEY 0xA4                        down
